,prompt_id,Prompt,Word,Label Type,index
52,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,in,Property,"(41, 42)"
53,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,location,Property,"(75, 82)"
54,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,original,Property,"(95, 102)"
55,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,by,Property,"(136, 137)"
56,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,and,Conditional,"(57, 59)"
57,608,Write a python function to find nth bell number.,,,
58,608,Write a python function to find nth bell number.,Write,Operator,"(0, 4)"
59,608,Write a python function to find nth bell number.,find,Operator,"(27, 30)"
60,608,Write a python function to find nth bell number.,nth,Property,"(32, 34)"
61,608,Write a python function to find nth bell number.,bell,Property,"(36, 39)"
62,608,Write a python function to find nth bell number.,number.,Datatype,"(41, 47)"
63,609,Write a python function to find minimum possible value for the given periodic function.,,,
64,609,Write a python function to find minimum possible value for the given periodic function.,Write,Operator,"(0, 4)"
65,609,Write a python function to find minimum possible value for the given periodic function.,find,Operator,"(27, 30)"
66,609,Write a python function to find minimum possible value for the given periodic function.,function.,Datatype,"(78, 86)"
67,609,Write a python function to find minimum possible value for the given periodic function.,value,Datatype,"(49, 53)"
68,609,Write a python function to find minimum possible value for the given periodic function.,minimum,Property,"(32, 38)"
69,609,Write a python function to find minimum possible value for the given periodic function.,possible,Property,"(40, 47)"
70,609,Write a python function to find minimum possible value for the given periodic function.,periodic,Property,"(69, 76)"
71,610,Write a python function to remove the k'th element from a given list.,,,
72,610,Write a python function to remove the k'th element from a given list.,Write,Operator,"(0, 4)"
73,610,Write a python function to remove the k'th element from a given list.,remove,Operator,"(27, 32)"
74,610,Write a python function to remove the k'th element from a given list.,from,Property,"(51, 54)"
75,610,Write a python function to remove the k'th element from a given list.,k'th,Property,"(38, 41)"
76,610,Write a python function to remove the k'th element from a given list.,element,Datatype,"(43, 49)"
77,610,Write a python function to remove the k'th element from a given list.,list.,Datatype,"(64, 68)"
78,611,Write a function to find the maximum of nth column from the given tuple list.,,,
79,611,Write a function to find the maximum of nth column from the given tuple list.,Write,Operator,"(0, 4)"
80,611,Write a function to find the maximum of nth column from the given tuple list.,find,Operator,"(20, 23)"
81,611,Write a function to find the maximum of nth column from the given tuple list.,tuple,Datatype,"(66, 70)"
82,611,Write a function to find the maximum of nth column from the given tuple list.,list.,Datatype,"(72, 76)"
83,611,Write a function to find the maximum of nth column from the given tuple list.,column,Datatype,"(44, 49)"
84,611,Write a function to find the maximum of nth column from the given tuple list.,maximum,Property,"(29, 35)"
85,612,Write a python function to merge the first and last elements separately in a list of lists.,,,
86,612,Write a python function to merge the first and last elements separately in a list of lists.,Write,Operator,"(0, 4)"
87,612,Write a python function to merge the first and last elements separately in a list of lists.,merge,Operator,"(27, 31)"
88,612,Write a python function to merge the first and last elements separately in a list of lists.,elements,Datatype,"(52, 59)"
89,612,Write a python function to merge the first and last elements separately in a list of lists.,lists.,Datatype,"(85, 90)"
90,612,Write a python function to merge the first and last elements separately in a list of lists.,list,Datatype,"(77, 80)"
91,612,Write a python function to merge the first and last elements separately in a list of lists.,of,Datatype,"(82, 83)"
92,612,Write a python function to merge the first and last elements separately in a list of lists.,first,Property,"(37, 41)"
93,612,Write a python function to merge the first and last elements separately in a list of lists.,last,Property,"(47, 50)"
94,612,Write a python function to merge the first and last elements separately in a list of lists.,and,Conditional,"(43, 45)"
95,612,Write a python function to merge the first and last elements separately in a list of lists.,separately,Property,"(61, 70)"
96,612,Write a python function to merge the first and last elements separately in a list of lists.,in,Property,"(72, 73)"
97,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,,,
98,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,Write,Operator,"(0, 4)"
99,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,find,Operator,"(20, 23)"
100,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,value,Datatype,"(37, 41)"
101,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,list,Datatype,"(53, 56)"
102,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,list.,Datatype,"(96, 100)"
103,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,maximum,Property,"(29, 35)"
104,613,Write a function to find the maximum value in record list as tuple attribute in the given tuple list.,tuple,Datatype,"(61, 65)"
105,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,,,
106,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,Write,Operator,"(0, 4)"
107,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,find,Operator,"(20, 23)"
108,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,present,Conditional,"(71, 77)"
109,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,sum,Datatype,"(40, 42)"
110,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,values,Datatype,"(55, 60)"
111,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,list.,Datatype,"(98, 102)"
112,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,tuple,Datatype,"(92, 96)"
113,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,cumulative,Property,"(29, 38)"
114,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,all,Property,"(47, 49)"
115,614,Write a function to find the cumulative sum of all the values that are present in the given tuple list.,of,Property,"(44, 45)"
116,615,Write a function to find average value of the numbers in a given tuple of tuples.,,,
117,615,Write a function to find average value of the numbers in a given tuple of tuples.,Write,Operator,"(0, 4)"
118,615,Write a function to find average value of the numbers in a given tuple of tuples.,find,Operator,"(20, 23)"
119,615,Write a function to find average value of the numbers in a given tuple of tuples.,value,Property,"(33, 37)"
120,615,Write a function to find average value of the numbers in a given tuple of tuples.,tuples.,Datatype,"(74, 80)"
121,615,Write a function to find average value of the numbers in a given tuple of tuples.,tuple,Datatype,"(65, 69)"
122,615,Write a function to find average value of the numbers in a given tuple of tuples.,of,Datatype,"(39, 40)"
123,615,Write a function to find average value of the numbers in a given tuple of tuples.,average,Property,"(25, 31)"
124,615,Write a function to find average value of the numbers in a given tuple of tuples.,numbers,Datatype,"(46, 52)"
125,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,,,
126,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,Write,Operator,"(0, 4)"
127,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,perfom,Operator,"(20, 25)"
128,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,modulo,Property,"(31, 36)"
129,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,two,Property,"(69, 71)"
130,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,tuples.,Datatype,"(73, 79)"
131,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,tuple,Datatype,"(41, 45)"
132,616,Write a function to perfom the modulo of tuple elements in the given two tuples.,elements,Datatype,"(47, 54)"
133,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",,,
134,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",Write,Operator,"(0, 4)"
135,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",check,Operator,"(20, 24)"
136,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",required,Property,"(50, 57)"
137,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",point,Datatype,"(86, 90)"
138,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",plane.,Datatype,"(127, 132)"
139,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",2d,Datatype,"(124, 125)"
140,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",number,Datatype,"(34, 39)"
141,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",length,Property,"(68, 73)"
142,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",jumps,Property,"(44, 48)"
143,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",form,Property,"(95, 98)"
144,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.","(d,",Property,"(100, 102)"
145,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",0),Property,"(104, 105)"
146,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",from,Property,"(107, 110)"
147,617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.",origin,Property,"(112, 117)"
148,618,Write a function to divide two lists using map and lambda function.,,,
149,618,Write a function to divide two lists using map and lambda function.,lists,Datatype,"(31, 35)"
150,618,Write a function to divide two lists using map and lambda function.,map,Datatype,"(43, 45)"
151,618,Write a function to divide two lists using map and lambda function.,function.,Datatype,"(58, 66)"
152,618,Write a function to divide two lists using map and lambda function.,lambda,Property,"(51, 56)"
153,618,Write a function to divide two lists using map and lambda function.,two,Property,"(27, 29)"
154,618,Write a function to divide two lists using map and lambda function.,divide,Operator,"(20, 25)"
155,619,Write a function to move all the numbers in it to the given string.,,,
156,619,Write a function to move all the numbers in it to the given string.,Write,Operator,"(0, 4)"
157,619,Write a function to move all the numbers in it to the given string.,move,Operator,"(20, 23)"
158,619,Write a function to move all the numbers in it to the given string.,numbers,Datatype,"(33, 39)"
159,619,Write a function to move all the numbers in it to the given string.,string.,Datatype,"(60, 66)"
160,619,Write a function to move all the numbers in it to the given string.,all,Property,"(25, 27)"
161,620,Write a function to find the largest subset where each pair is divisible.,,,
162,620,Write a function to find the largest subset where each pair is divisible.,find,Operator,"(20, 23)"
163,620,Write a function to find the largest subset where each pair is divisible.,Write,Operator,"(0, 4)"
164,620,Write a function to find the largest subset where each pair is divisible.,divisible.,Conditional,"(63, 72)"
165,620,Write a function to find the largest subset where each pair is divisible.,largest,Property,"(29, 35)"
166,620,Write a function to find the largest subset where each pair is divisible.,subset,Datatype,"(37, 42)"
167,620,Write a function to find the largest subset where each pair is divisible.,pair,Datatype,"(55, 58)"
168,621,Write a function to increment the numeric values in the given strings by k.,,,
169,621,Write a function to increment the numeric values in the given strings by k.,values,Datatype,"(42, 47)"
170,621,Write a function to increment the numeric values in the given strings by k.,strings,Datatype,"(62, 68)"
171,621,Write a function to increment the numeric values in the given strings by k.,k.,Property,"(73, 74)"
172,621,Write a function to increment the numeric values in the given strings by k.,numeric,Datatype,"(34, 40)"
173,621,Write a function to increment the numeric values in the given strings by k.,Write,Operator,"(0, 4)"
174,621,Write a function to increment the numeric values in the given strings by k.,increment,Operator,"(20, 28)"
175,622,Write a function to find the median of two sorted arrays of same size.,,,
176,622,Write a function to find the median of two sorted arrays of same size.,Write,Operator,"(0, 4)"
177,622,Write a function to find the median of two sorted arrays of same size.,find,Operator,"(20, 23)"
178,622,Write a function to find the median of two sorted arrays of same size.,same,Conditional,"(60, 63)"
179,622,Write a function to find the median of two sorted arrays of same size.,arrays,Datatype,"(50, 55)"
180,622,Write a function to find the median of two sorted arrays of same size.,median,Property,"(29, 34)"
181,622,Write a function to find the median of two sorted arrays of same size.,sorted,Property,"(43, 48)"
182,623,Write a function to find the n-th power of individual elements in a list using lambda function.,,,
183,623,Write a function to find the n-th power of individual elements in a list using lambda function.,lambda,Property,"(79, 84)"
184,623,Write a function to find the n-th power of individual elements in a list using lambda function.,individual,Property,"(43, 52)"
185,623,Write a function to find the n-th power of individual elements in a list using lambda function.,Write,Operator,"(0, 4)"
186,623,Write a function to find the n-th power of individual elements in a list using lambda function.,find,Operator,"(20, 23)"
187,623,Write a function to find the n-th power of individual elements in a list using lambda function.,elements,Datatype,"(54, 61)"
188,623,Write a function to find the n-th power of individual elements in a list using lambda function.,list,Datatype,"(68, 71)"
189,623,Write a function to find the n-th power of individual elements in a list using lambda function.,n-th,Property,"(29, 32)"
190,623,Write a function to find the n-th power of individual elements in a list using lambda function.,power,Property,"(34, 38)"
191,623,Write a function to find the n-th power of individual elements in a list using lambda function.,function.,Property,"(86, 94)"
192,624,Write a python function to convert the given string to upper case.,,,
193,624,Write a python function to convert the given string to upper case.,upper,Property,"(55, 59)"
194,624,Write a python function to convert the given string to upper case.,case.,Property,"(61, 65)"
195,624,Write a python function to convert the given string to upper case.,Write,Operator,"(0, 4)"
196,624,Write a python function to convert the given string to upper case.,convert,Operator,"(27, 33)"
197,624,Write a python function to convert the given string to upper case.,string,Datatype,"(45, 50)"
198,625,Write a python function to interchange first and last elements in a given list.,,,
199,625,Write a python function to interchange first and last elements in a given list.,Write,Operator,"(0, 4)"
200,625,Write a python function to interchange first and last elements in a given list.,interchange,Operator,"(27, 37)"
201,625,Write a python function to interchange first and last elements in a given list.,elements,Datatype,"(54, 61)"
202,625,Write a python function to interchange first and last elements in a given list.,list.,Datatype,"(74, 78)"
203,625,Write a python function to interchange first and last elements in a given list.,first,Property,"(39, 43)"
204,625,Write a python function to interchange first and last elements in a given list.,last,Property,"(49, 52)"
205,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,,,
206,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,Write,Operator,"(0, 4)"
207,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,find,Operator,"(27, 30)"
208,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,largest,Property,"(36, 42)"
209,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,triangle,Property,"(44, 51)"
210,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,semicircle.,Property,"(82, 92)"
211,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,inscribed,Property,"(65, 73)"
212,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,can,Property,"(58, 60)"
213,626,Write a python function to find the largest triangle that can be inscribed in the semicircle.,be,Property,"(62, 63)"
214,627,Write a python function to find the smallest missing number from the given array.,,,
215,627,Write a python function to find the smallest missing number from the given array.,smallest,Property,"(36, 43)"
216,627,Write a python function to find the smallest missing number from the given array.,missing,Property,"(45, 51)"
217,627,Write a python function to find the smallest missing number from the given array.,number,Datatype,"(53, 58)"
218,627,Write a python function to find the smallest missing number from the given array.,array.,Datatype,"(75, 80)"
219,627,Write a python function to find the smallest missing number from the given array.,Write,Operator,"(0, 4)"
220,627,Write a python function to find the smallest missing number from the given array.,find,Operator,"(27, 30)"
221,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,,,
222,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,Write,Operator,"(0, 4)"
223,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,replace,Operator,"(20, 26)"
224,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,string,Datatype,"(52, 57)"
225,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,character,Datatype,"(64, 72)"
226,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,all,Property,"(28, 30)"
227,628,Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,spaces,Property,"(32, 37)"
228,629,Write a python function to find even numbers from a mixed list.,,,
229,629,Write a python function to find even numbers from a mixed list.,Write,Operator,"(0, 4)"
230,629,Write a python function to find even numbers from a mixed list.,find,Operator,"(27, 30)"
231,629,Write a python function to find even numbers from a mixed list.,numbers,Datatype,"(37, 43)"
232,629,Write a python function to find even numbers from a mixed list.,list.,Datatype,"(58, 62)"
233,629,Write a python function to find even numbers from a mixed list.,even,Property,"(32, 35)"
234,629,Write a python function to find even numbers from a mixed list.,mixed,Property,"(52, 56)"
235,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,,,
236,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,Write,Operator,"(0, 4)"
237,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,extract,Operator,"(20, 26)"
238,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,tuple.,Datatype,"(81, 86)"
239,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,coordinates,Datatype,"(45, 55)"
240,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,adjacent,Property,"(36, 43)"
241,630,Write a function to extract all the adjacent coordinates of the given coordinate tuple.,all,Property,"(28, 30)"
242,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,,,
243,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,Write,Operator,"(0, 4)"
244,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,replace,Operator,"(20, 26)"
245,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,string,Datatype,"(85, 90)"
246,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,regex.,Datatype,"(101, 106)"
247,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,whitespaces,Property,"(28, 38)"
248,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,with,Property,"(40, 43)"
249,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,underscore,Property,"(48, 57)"
250,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,an,Property,"(45, 46)"
251,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,vice,Conditional,"(63, 66)"
252,631,Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.,versa,Conditional,"(68, 72)"
253,632,Write a python function to move all zeroes to the end of the given list.,,,
254,632,Write a python function to move all zeroes to the end of the given list.,all,Property,"(32, 34)"
255,632,Write a python function to move all zeroes to the end of the given list.,end,Property,"(50, 52)"
256,632,Write a python function to move all zeroes to the end of the given list.,zeroes,Property,"(36, 41)"
257,632,Write a python function to move all zeroes to the end of the given list.,list.,Datatype,"(67, 71)"
258,632,Write a python function to move all zeroes to the end of the given list.,Write,Operator,"(0, 4)"
259,632,Write a python function to move all zeroes to the end of the given list.,move,Operator,"(27, 30)"
260,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,,,
261,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,Write,Operator,"(0, 4)"
262,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,find,Operator,"(27, 30)"
263,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,numbers,Datatype,"(63, 69)"
264,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,array.,Datatype,"(84, 89)"
265,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,sum,Property,"(36, 38)"
266,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,xor,Property,"(43, 45)"
267,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,all,Property,"(50, 52)"
268,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,pairs,Property,"(54, 58)"
269,633,Write a python function to find the sum of xor of all pairs of numbers in the given array.,of,Property,"(40, 41)"
270,634,Write a python function to find the sum of fourth power of first n even natural numbers.,,,
271,634,Write a python function to find the sum of fourth power of first n even natural numbers.,Write,Operator,"(0, 4)"
272,634,Write a python function to find the sum of fourth power of first n even natural numbers.,find,Operator,"(27, 30)"
273,634,Write a python function to find the sum of fourth power of first n even natural numbers.,numbers.,Datatype,"(80, 87)"
274,634,Write a python function to find the sum of fourth power of first n even natural numbers.,sum,Property,"(36, 38)"
275,634,Write a python function to find the sum of fourth power of first n even natural numbers.,of,Property,"(40, 41)"
276,634,Write a python function to find the sum of fourth power of first n even natural numbers.,fourth,Property,"(43, 48)"
277,634,Write a python function to find the sum of fourth power of first n even natural numbers.,power,Property,"(50, 54)"
278,634,Write a python function to find the sum of fourth power of first n even natural numbers.,first,Property,"(59, 63)"
279,634,Write a python function to find the sum of fourth power of first n even natural numbers.,even,Property,"(67, 70)"
280,634,Write a python function to find the sum of fourth power of first n even natural numbers.,natural,Property,"(72, 78)"
281,634,Write a python function to find the sum of fourth power of first n even natural numbers.,n,Property,"(13, 13)"
282,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,,,
283,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,Write,Operator,"(0, 4)"
284,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,push,Operator,"(20, 23)"
285,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,heap,Datatype,"(43, 46)"
286,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,values,Datatype,"(29, 34)"
287,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,smallest,Property,"(69, 76)"
288,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,one,Property,"(85, 87)"
289,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,at,Property,"(89, 90)"
290,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,a,Property,"(6, 6)"
291,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,time.,Property,"(94, 98)"
292,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,pop,Operator,"(57, 59)"
293,635,Write a function to push all values into a heap and then pop off the smallest values one at a time.,off,Operator,"(61, 63)"
294,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,,,
295,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,Write,Operator,"(0, 4)"
296,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,check,Operator,"(27, 31)"
297,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,quadratic,Property,"(47, 55)"
298,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,equation,Property,"(57, 64)"
299,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,reciprocal,Property,"(70, 79)"
300,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,or,Conditional,"(95, 96)"
301,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,roots,Property,"(36, 40)"
302,636,Write a python function to check if roots of a quadratic equation are reciprocal of each other or not.,if,Conditional,"(33, 34)"
303,637,Write a function to check whether the given amount has no profit and no loss,,,
304,637,Write a function to check whether the given amount has no profit and no loss,Write,Operator,"(0, 4)"
305,637,Write a function to check whether the given amount has no profit and no loss,check,Operator,"(20, 24)"
306,637,Write a function to check whether the given amount has no profit and no loss,amount,Datatype,"(44, 49)"
307,637,Write a function to check whether the given amount has no profit and no loss,whether,Conditional,"(26, 32)"
308,637,Write a function to check whether the given amount has no profit and no loss,profit,Property,"(58, 63)"
309,637,Write a function to check whether the given amount has no profit and no loss,loss,Property,"(72, 75)"
310,637,Write a function to check whether the given amount has no profit and no loss,no,Property,"(55, 56)"
311,637,Write a function to check whether the given amount has no profit and no loss,and,Property,"(65, 67)"
312,638,Write a function to calculate wind chill index.,,,
313,638,Write a function to calculate wind chill index.,wind,Property,"(30, 33)"
314,638,Write a function to calculate wind chill index.,chill,Property,"(35, 39)"
315,638,Write a function to calculate wind chill index.,index.,Datatype,"(41, 46)"
316,638,Write a function to calculate wind chill index.,calculate,Operator,"(20, 28)"
317,638,Write a function to calculate wind chill index.,Write,Operator,"(0, 4)"
318,639,Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,,,
319,639,Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,Write,Operator,"(0, 4)"
320,639,Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,sum,Operator,"(20, 22)"
